Idusuario,Dtcadastro,Deslogin,Dessenha,Descricao
14,2018-08-02 21:32:19,4234234,3242353525,adicionado via php.
19,2018-08-05 11:23:21,aluno,12345678911,
20,2018-08-05 11:23:48,aluno,12345678911,
21,2018-08-05 11:24:05,aluno2,dshdde,
13,2018-08-02 21:31:42,dbajksdgk,sdasas,adicionado via php.
18,2018-08-04 00:02:11,JRABDF,4654654	,por php
22,2018-08-05 11:29:40,Mises,Ludwig,
16,2018-08-03 23:52:48,Robertinho,32154646,por php!
12,2018-08-02 21:29:07,teste,123456789,adicionado via php.
15,2018-08-02 21:32:19,teste2,sswd89,adicionado via php.
3,2018-08-02 19:46:11,user02,#$%%,
4,2018-08-02 19:46:13,user03,#$%%,
5,2018-08-02 19:46:15,user04,#$%%,
6,2018-08-02 19:46:31,user05,#$%%,
7,2018-08-02 19:46:34,user06,#$%%,
8,2018-08-02 19:46:36,user07,#$%%,
9,2018-08-02 19:46:38,user08,#$%%,
10,2018-08-02 19:46:40,user09,#$%%,
11,2018-08-02 19:46:43,usertest,#$%%,
